run,meanGamma,meanAlpha,meanTheta,RMSDGamma,RMSDAlpha,RMSDTheta,biasGamma,biasAlpha,biasTheta,corGamma,corAlpha,corTheta
42,4.0434923,0.9403188,0.3159055,0.26132336,0.09330568,0.01001853,0.039346851,0.011394409,0.00035141,0.898993,0.8900652,0.9847866
43,3.9609915,0.9412909,0.3105715,0.23548127,0.11124878,0.01254404,-0.022101442,0.025380661,-0.003119864,0.9744806,0.9395167,0.9657717
44,3.9360326,0.8888828,0.2997113,0.25521194,0.08606944,0.01256288,-0.046632483,-0.03601676,0.006274133,0.9417833,0.8767612,0.9776895
45,3.9084134,0.9598401,0.2979457,0.19285742,0.09643756,0.01249672,0.018916627,0.027464231,-0.002658454,0.9476637,0.8598265,0.9627138
46,3.9026692,0.9964806,0.3265202,0.24008294,0.10481936,0.01348748,0.044940916,0.027672798,-0.003388173,0.9393988,0.9376349,0.9771622
47,3.7714206,0.8041211,0.338221,0.257070996,0.071808035,0.007783179,-0.056287813,-0.00870284,0.000554462,0.886818,0.918263,0.984979
48,3.7829821,0.9452279,0.3171507,0.27234537,0.11484895,0.01444499,0.078464652,0.039804933,-0.003858714,0.9163088,0.8271837,0.9609923
49,4.0992956,0.9759547,0.3059188,0.22408286,0.0980127,0.01134778,0.051329593,0.023445832,-0.000385255,0.9648237,0.8929522,0.9726297
50,3.8964077,0.9544452,0.3104862,0.27041593,0.10787711,0.01288209,-0.02921976,-0.01214921,0.00279529,0.9316271,0.7409756,0.9694625
51,3.8634161,0.9013937,0.331036,0.173326548,0.070064221,0.008876862,0.00937939,0.005898678,-0.000273804,0.977561,0.930444,0.9737342
52,3.867173,0.8711477,0.3066563,0.3310236,0.1348811,0.0161645,0.044548642,0.016184304,-0.002224181,0.8947756,0.6096456,0.9362755
53,3.7285969,0.9609162,0.3309988,0.21095612,0.0842317,0.01458195,0.077960024,0.012137311,-0.000795793,0.9614879,0.8856689,0.958336
54,3.789584,0.9575101,0.3304182,0.15586673,0.09772237,0.01454688,0.043106809,0.010329466,-0.000760573,0.9711166,0.833795,0.9276648
55,4.0282571,0.8866522,0.3190891,0.26064147,0.08571066,0.01036603,0.003970255,0.001158981,0.000129234,0.8821532,0.9374231,0.9654416
