run,meanGamma,meanAlpha,meanTheta,RMSDGamma,RMSDAlpha,RMSDTheta,biasGamma,biasAlpha,biasTheta,corGamma,corAlpha,corTheta
1,3.627505,0.9791706,0.2657047,0.14589607,0.074124081,0.009820531,-0.10752876,-0.041544824,0.005006103,0.996386,0.9354926,0.9923277
2,4.0786983,0.9363501,0.3298984,0.160073536,0.061771965,0.005061916,-0.025436342,-0.004516746,0.001308843,0.9831829,0.9533058,0.9968665
3,3.9913198,0.8884329,0.3072789,0.30551429,0.11562902,0.01154931,0.01103055,0.018520184,-0.003619341,0.9046889,0.8889877,0.93945
4,4.461024,1.102369,0.301005,0.3528046,0.17277972,0.01778811,0.081619012,0.052930184,-0.004249561,0.9376297,0.8397555,0.7253203
5,4.2854184,0.9258506,0.3093624,0.319452636,0.087504559,0.006813909,0.149907725,0.031880316,-0.000918313,0.9386722,0.8336068,0.9963306
6,3.9033441,0.9488491,0.2905507,0.37557953,0.12663539,0.01257447,0.118247832,0.045069639,-0.001645619,0.6163109,0.2322143,0.9847273
7,3.9230397,0.8298598,0.3074317,0.145774645,0.047477588,0.009053983,-0.014851377,0.012114254,-0.001665428,0.9300005,0.9601993,0.9940728
8,3.8271486,0.8595876,0.3235123,0.213730411,0.071678347,0.009041651,-0.061451625,-0.013361813,-0.000132637,0.9427143,0.9211653,0.9888636
9,3.6897609,0.8790869,0.3459141,0.204991,0.06343855,0.00704541,-0.011774885,-0.012632736,0.002856153,0.9520954,0.9856969,0.9928649
10,3.470562,0.826047,0.3366237,0.190549987,0.07482301,0.007403824,-0.08567483,-0.02879743,0.00162832,0.9673372,0.9806435,0.9429812
11,3.4959216,0.9919618,0.3579823,0.11233226,0.08669028,0.01372175,-0.049231313,-0.02094481,0.004600232,0.9664842,0.9425105,0.9538686
12,3.530215,0.7696976,0.318651,0.174478973,0.041347168,0.005387407,-0.113362419,-0.024028505,0.003064721,0.9708439,0.9648389,0.9897202
13,3.9724895,0.8238153,0.2981682,0.183015669,0.041359213,0.005099981,-0.132481544,-0.029348583,0.002945256,0.9806773,0.9946353,0.9981539
14,3.9421075,1.1013709,0.3005617,0.171722308,0.063460495,0.007668491,0.000478468,0.02532933,-0.006540121,0.9655498,0.9416593,0.997529
15,3.8739522,0.9887754,0.3233717,0.16857953,0.044390654,0.009320194,-0.13419617,-0.020727509,-0.001264563,0.9924684,0.9814967,0.9950767
16,4.2437851,0.9754564,0.355392,0.23955963,0.11195805,0.01528362,-0.048168001,-0.003843623,0.00031587,0.884296,0.8988775,0.855844
17,4.2958809,1.1632561,0.3373421,0.46611288,0.23043065,0.02786608,0.37674789,0.18946715,-0.02361876,0.9434332,0.9415103,0.9572415
18,3.2731031,0.9728462,0.3439312,0.17488999,0.08787287,0.01270341,-0.105962077,-0.05875803,0.007155417,0.9547879,0.8415789,0.9915558
19,4.1478432,0.9260468,0.3462755,0.18458413,0.09133466,0.01402901,-0.002113973,-0.024612115,0.005698259,0.8867924,0.8744836,0.9394661
20,4.1192571,0.9784768,0.3245111,0.28624694,0.10910172,0.01565573,0.027171584,0.00972101,-0.002266639,0.3767086,0.7567838,0.9665722
21,4.1681653,0.8061165,0.3469651,0.30256459,0.11268923,0.01124342,-0.100936579,-0.053761374,0.005582749,0.8738162,0.7721982,0.9867958
22,3.661158,0.9659683,0.3148628,0.21643313,0.08074464,0.01447887,-0.113128588,-0.017609258,0.003053633,0.9709778,0.9939257,0.9008291
23,4.1896278,0.8396123,0.315639,0.09185162,0.06982096,0.011004,-0.044436667,-0.040358097,0.008279277,0.9880051,0.9398959,0.9758018
24,4.3246303,1.0868816,0.3246312,0.18827964,0.11625735,0.01505463,0.1569646,0.06635676,-0.00791949,0.9881498,0.9179511,0.9852751
25,3.1183736,0.9171161,0.3139926,0.20671662,0.07231014,0.01036037,-0.09180665,-0.01782328,-0.00136422,0.5017877,0.8993452,0.9793215
