Exp1,Exp2,Exp3,Exp4,Exp5
0.2801692,0.3187762,0.3199975,0.3238125,0.3007476
0.2704752,0.3160068,0.3269109,0.3254306,0.2892868
0.2233975,0.3400502,0.3368376,0.3637721,0.2296546
0.3009577,0.3054681,0.3396268,0.3194572,0.2682979
0.1788241,0.322726,0.3212554,0.3104615,0.2676589
0.2245372,0.2980589,0.3263102,0.3023933,0.1710026
0.2473817,0.3099754,0.3227517,0.2904795,0.2848967
0.3277332,0.329878,0.3137871,0.3202257,0.3138433
0.3275874,0.3064354,0.3213873,0.3249787,0.2760396
0.3074657,0.3153121,0.3163177,0.3416759,0.2702831
0.3226463,0.3355365,0.3179535,0.3361776,0.2438435
0.2124015,0.3223594,0.3117298,0.2855574,0.2820979
0.3552305,0.290545,0.3212162,0.3331822,0.23211
0.1781947,0.3392164,0.3259545,0.3126465,0.2908905
0.3401017,0.3200693,0.3273949,0.3099574,0.214321
0.3001101,0.3365961,0.3264517,0.3175972,0.2765476
0.3077035,0.3270132,0.3062809,0.3337763,0.2555054
0.3355508,0.3435303,0.316855,0.2999237,0.2964023
0.3437558,0.3375551,0.3252935,0.2959397,0.2759402
0.2317885,0.2860064,0.3220254,0.3353504,0.308964
0.3072021,0.3276859,0.3262068,0.3346179,0.3188797
0.2940929,0.3111859,0.3050545,0.3459068,0.2579835
0.347254,0.2740618,0.3163561,0.3124988,0.2795456
0.2591658,0.3064535,0.3054492,0.2625852,0.2560496
0.2125856,0.316975,0.3319597,0.3004349,0.2752642
0.3533402,0.3345384,0.3310362,0.3110164,0.2795242
0.1970431,0.3400636,0.3234692,0.3329723,0.2588149
0.2527471,0.3204168,0.3277912,0.2969566,0.3227509
0.344944,0.3231098,0.3094226,0.3200488,0.2899657
0.2182525,0.3322145,0.3349716,0.2842137,0.2235848
0.2895726,0.3022046,0.3056636,0.277912,0.2866717
0.2841146,0.3233434,0.3093578,0.2761322,0.2992183
0.2988687,0.3302193,0.3368765,0.3048852,0.3003219
0.1412561,0.29392,0.3148534,0.3200039,0.3033451
0.2408659,0.3143201,0.320338,0.3331465,0.2713894
0.3213339,0.3277477,0.3156889,0.3233367,0.269531
0.308719,0.3140725,0.3259888,0.2873129,0.25038
0.24659,0.3270536,0.320865,0.341005,0.3093082
0.2895701,0.3174702,0.32611,0.2976313,0.257379
0.2354976,0.356528,0.3158845,0.3363621,0.2939261
0.1770925,0.317652,0.3097149,0.3036528,0.2376961
0.3106546,0.3374481,0.3151496,0.3347859,0.2591096
0.2965827,0.3322344,0.3127034,0.2962361,0.2942663
0.2749102,0.3182486,0.3155799,0.3322804,0.2627581
0.132302,0.3140179,0.3165684,0.3279325,0.1842142
0.2358783,0.3424274,0.3318884,0.2968071,0.2276324
0.2101103,0.3427106,0.3222867,0.3074365,0.2939914
0.1986305,0.3484374,0.3132701,0.3435172,0.2148597
0.2006191,0.3240511,0.3069729,0.2952372,0.2924964
0.2297509,0.3257883,0.3260829,0.3192561,0.3222547
0.3336125,0.3222342,0.3494867,0.3222344,0.2789927
0.3043049,0.3250741,0.3246628,0.3452968,0.2656616
0.3168193,0.3439118,0.3205515,0.3065518,0.2405942
0.3462671,0.2988716,0.3464284,0.3574597,0.2636829
0.2039464,0.3185182,0.312618,0.3103428,0.3078613
0.229332,0.3332156,0.2959222,0.2882304,0.2799013
0.2756397,0.3302899,0.3198997,0.3375834,0.3033867
0.2474243,0.3238414,0.3297675,0.3272072,0.2687308
0.3126396,0.3170861,0.3196655,0.300303,0.335053
0.3123411,0.3070439,0.3222372,0.3330434,0.2683969
0.3411305,0.327304,0.3451522,0.3379589,0.2044909
0.24957,0.3198277,0.3093149,0.3161364,0.2789261
0.156041,0.3278742,0.3241863,0.3364889,0.2656873
0.1556189,0.3253352,0.3518076,0.2837821,0.2621767
0.3045229,0.3327362,0.3110733,0.3309738,0.2676738
0.2730003,0.3143909,0.308471,0.322487,0.2590767
0.2060331,0.3292864,0.313669,0.3032934,0.3021873
0.2131209,0.3109634,0.3283178,0.3643166,0.2817235
0.3156587,0.3299779,0.3165734,0.3373856,0.3092845
0.302018,0.3169693,0.3138232,0.298719,0.242532
0.3524716,0.3175773,0.3290654,0.3150657,0.2644891
0.2085688,0.291586,0.325765,0.2738118,0.2630161
0.1951243,0.330757,0.3127425,0.3263857,0.2980283
0.3090767,0.3301245,0.2884235,0.3350404,0.257585
0.2669422,0.3002815,0.2985069,0.3552326,0.2920775
0.2984845,0.3237447,0.3225531,0.3142554,0.3318626
0.3023572,0.3052354,0.3191308,0.3234083,0.239222
0.2428105,0.2978691,0.3055417,0.2875921,0.2589243
0.2568154,0.2989133,0.326328,0.3132743,0.3189994
0.3046693,0.3023227,0.297273,0.3021823,0.2810105
0.2919917,0.3255622,0.3388597,0.2790401,0.2725575
0.3176324,0.3120429,0.3311992,0.331811,0.2774487
0.246485,0.3301347,0.3213775,0.2773695,0.2752629
0.2219201,0.3418257,0.3234712,0.2956665,0.2689476
0.2840817,0.3056743,0.3291857,0.3015606,0.2903042
0.2423686,0.3137985,0.3131704,0.3498543,0.2249859
0.2989119,0.3201706,0.3398585,0.3421031,0.2302732
0.3292936,0.3192883,0.3256318,0.3374521,0.285472
0.2078006,0.3184078,0.3098071,0.3210304,0.2077187
0.3166472,0.3240404,0.3288424,0.3156304,0.2808387
0.252238,0.3249616,0.3352229,0.3096312,0.2754257
0.2634741,0.3243062,0.3178676,0.3431735,0.3036929
0.2503017,0.3087367,0.3182052,0.3158624,0.3066942
