meanGamma,meanAlpha,meanTheta
3.4567588,0.8950445,0.3237463
4.126784,1.7084068,0.2622599
4.92796583,4.13043468,0.09017876
4.4421839,1.6120245,0.2689384
4.0042649,1.0022448,0.3191969
5.2251819,2.6254293,0.2465318
4.3365986,1.0853085,0.3307343
5.4817336,2.5354875,0.2261109
4.6611344,2.2704848,0.2027131
4.2814043,1.747704,0.2767378
5.65841,3.473164,0.209721
3.364598,0.8242123,0.3296853
4.2664401,1.6482417,0.2536682
4.1644203,0.8940965,0.3231035
4.5811356,1.734469,0.2383188
4.0118118,1.1418394,0.3168477
6.67083714,7.52163287,-0.04290418
4.2633784,1.062723,0.3093103
5.2484062,2.8420678,0.1915686
6.1695234,3.1729078,0.1811983
3.9422398,1.3575085,0.2801692
4.7464386,1.5641656,0.2704752
5.1873835,2.2430294,0.2233975
4.187645,1.9548564,0.3009577
4.7729989,2.2460411,0.1788241
5.0199794,2.2604778,0.2245372
4.8492256,2.4223702,0.2473817
4.0684564,0.7010559,0.3277332
3.7281328,0.9152155,0.3275874
4.3539261,1.0937655,0.3074657
4.0934861,0.9995303,0.3226463
4.906205,2.6667221,0.2124015
3.5196103,0.844776,0.3552305
5.5871142,2.8508855,0.1781947
3.8821186,0.750593,0.3401017
4.6005319,1.6043455,0.3001101
4.1557393,1.2194174,0.3077035
3.5676521,0.8683841,0.3355508
3.7173974,0.9385984,0.3437558
4.5393297,2.3288695,0.2317885
4.323583,1.0448588,0.3072021
4.3007957,1.7508262,0.2940929
3.7199543,0.7399715,0.347254
4.150102,1.5618815,0.2591658
5.3123964,3.1301335,0.2125856
3.9473722,0.8380498,0.3533402
4.6450269,2.9604187,0.1970431
4.9988257,2.0267327,0.2527471
3.7490665,0.8017376,0.344944
4.7455821,2.1149623,0.2182525
4.2879974,1.4958235,0.2895726
4.6616833,1.2297745,0.2841146
4.3558501,1.1496113,0.2988687
4.936016,4.0738033,0.1412561
4.7921025,2.6286618,0.2408659
4.2726701,1.132306,0.3213339
4.447055,1.242242,0.308719
4.939429,2.335861,0.24659
4.5253492,1.3203244,0.2895701
4.602047,2.1254272,0.2354976
4.9745001,3.2124198,0.1770925
3.8889075,1.2056824,0.3106546
4.211174,1.1693193,0.2965827
4.5628221,1.6595622,0.2749102
6.766602,4.501101,0.132302
4.7252536,2.3743759,0.2358783
4.8620888,2.6860122,0.2101103
5.0967783,3.311237,0.1986305
5.3738974,3.1957733,0.2006191
4.6814323,2.4033909,0.2297509
3.8470444,1.0245404,0.3336125
4.7899921,1.3247975,0.3043049
4.1107425,1.7560004,0.3168193
4.0380393,0.9130238,0.3462671
5.2270517,2.6458738,0.2039464
5.349956,2.468579,0.229332
4.7270351,1.6907108,0.2756397
4.6356182,2.0158667,0.2474243
4.2239847,1.2462861,0.3126396
3.7279626,0.8811905,0.3123411
4.2431667,0.9709363,0.3411305
4.663971,1.939864,0.24957
5.555642,4.198267,0.156041
5.1345861,3.3633091,0.1556189
4.3424008,1.2028062,0.3045229
5.3876087,2.241621,0.2730003
5.0531065,2.5766562,0.2060331
4.8618307,2.6375383,0.2131209
3.6973695,0.9643731,0.3156587
4.570284,1.868285,0.302018
4.0757353,0.977043,0.3524716
5.055416,2.8424,0.2085688
4.9627311,3.1248876,0.1951243
4.1282291,1.4573344,0.3090767
5.0391778,1.9086121,0.2669422
4.0084501,1.574987,0.2984845
4.0351461,1.6610672,0.3023572
4.699083,2.2540462,0.2428105
5.1567838,2.5171385,0.2568154
4.1697803,1.331233,0.3046693
4.4966141,1.3468327,0.2919917
3.5694639,0.8480963,0.3176324
4.128481,2.099367,0.246485
4.7990204,2.3278523,0.2219201
4.4028693,1.4372442,0.2840817
4.8840327,1.9832893,0.2423686
4.5945305,1.7412925,0.2989119
4.3696549,1.0715407,0.3292936
4.7484846,3.0616298,0.2078006
4.195774,0.9919909,0.3166472
4.774387,2.491932,0.252238
4.375335,2.076949,0.2634741
4.0982317,2.0162005,0.2503017
