meanGamma,meanAlpha,meanTheta
3.7011142,0.7849535,0.3398263
3.877183,0.9445999,0.322965
4.7025512,1.8961778,0.2606198
3.5956038,0.7856688,0.3668531
3.7408062,0.79427,0.3496981
5.5518438,2.4395019,0.2483372
3.8642509,1.1036958,0.2909233
5.4456914,2.7857846,0.2362489
4.0925914,1.0087697,0.3377812
4.969219,2.465227,0.255486
4.0564767,1.0144424,0.3354884
4.2261973,0.981713,0.2999007
4.2878947,1.4686255,0.2974459
4.8995444,1.6516545,0.2675252
4.1486702,1.0736231,0.3033616
4.7555286,3.1716096,0.1709812
4.2272138,0.8450572,0.3293627
4.1165831,1.1118032,0.3056631
3.2808039,0.7837443,0.3566172
5.3196594,2.9473537,0.1596625
4.8960319,3.7163346,0.1625024
3.6915471,0.8976614,0.3339386
4.6298397,2.9420937,0.2063383
3.8271084,2.0573072,0.2291679
4.2862285,1.1835525,0.3127451
4.6585974,1.7531987,0.2491865
5.6691112,3.318057,0.2095238
5.8194146,3.2075483,0.1659389
3.9498768,0.9383993,0.3184835
4.8643776,2.5176916,0.2313892
4.4285534,2.8032048,0.2038113
4.1060394,1.6718453,0.2571347
4.5963814,1.3175625,0.2885971
4.107851,1.5357972,0.2704122
4.3917633,1.2094674,0.2880555
4.1073617,2.3451054,0.2142847
3.7735491,1.5386467,0.2846562
3.4642758,0.7855813,0.3571777
4.930605,2.7841,0.205799
4.4177111,2.0088166,0.2261262
3.7905605,1.4103698,0.3326424
4.02808,1.3804536,0.2890906
4.6895943,2.0231979,0.2364125
5.152962,4.1976265,0.1065844
4.4845908,1.2254265,0.2978057
5.3888515,3.8129041,0.2044335
3.7651417,1.1056849,0.3011555
3.9609601,1.0479692,0.3280174
4.0167879,0.8142102,0.3118792
4.274966,0.8834496,0.3420242
4.6333716,2.1744383,0.2526495
5.544966,3.752872,0.1799894
3.6164838,0.9513221,0.3257347
3.8457753,0.9090293,0.3259904
3.8793135,1.5855446,0.2740404
4.162258,0.9664714,0.3585754
4.8753363,2.8605913,0.2152472
3.5124874,0.8087182,0.3488056
4.6478338,2.0443958,0.2738031
3.9595455,1.2592292,0.2903812
4.3203711,1.2488831,0.2958214
4.5243791,2.3070696,0.2605158
4.4308806,2.0599727,0.2458527
4.307675,1.3940261,0.2840101
3.6638554,0.8182732,0.3603287
4.38027049,3.76469901,0.07090861
4.3537772,1.9648643,0.2562433
3.7633157,0.833364,0.3487901
4.2588416,1.036613,0.3343268
4.6218393,2.3043149,0.2754952
4.6197591,2.8859051,0.1963417
5.4947097,2.7822777,0.2202878
4.692045,2.2413017,0.2270856
4.3444822,2.4935379,0.2698092
4.1155895,1.3157022,0.3035062
4.5074264,1.0857187,0.3183734
4.6392321,1.0557117,0.3128618
3.912329,1.8373764,0.2946803
5.5904735,4.1848324,0.1192456
4.500102,1.582679,0.302213
4.2514828,1.5515681,0.2737702
5.6568954,3.0418144,0.1946423
4.9574886,3.3806356,0.1845726
4.7208875,2.1504085,0.2573331
3.8980488,0.9455569,0.3347559
3.3613805,0.9540084,0.3160933
5.1564196,1.5732581,0.2682519
