run,meanGamma,meanAlpha,meanTheta,RMSDGamma,RMSDAlpha,RMSDTheta,biasGamma,biasAlpha,biasTheta,corGamma,corAlpha,corTheta
1,4.2674486,1.7275556,0.2863088,2.289688,4.1563856,0.2774714,0.36358643,0.78241228,-0.03870705,0.4472705,0.2735547,0.1424033
2,4.5093761,2.1495415,0.2599688,2.7764775,5.895466,0.3854676,0.62420833,1.22020677,-0.06765932,0.20185822,0.13771608,0.02793434
3,4.1224076,1.3794871,0.2950616,1.8702034,2.7101213,0.1814997,0.24452032,0.44500732,-0.02338028,0.2451993,0.1420814,0.3432424
4,4.0953788,1.5589978,0.2929806,2.2721131,3.3308005,0.2603984,0.27382701,0.62495157,-0.03055195,0.23332314,0.05581824,0.27938659
5,4.2608808,2.235005,0.2282053,2.685904,4.944472,0.383179,0.41652933,1.30055291,-0.08878565,0.1204104,0.22087,0.1634948
6,4.213884,1.862281,0.264571,2.3296531,4.5625126,0.3702325,0.47776661,0.95031034,-0.05739402,0.29487298,0.11511086,0.07538967
7,4.1154257,1.4940136,0.2815667,2.1372425,3.7781138,0.2806357,0.21184267,0.57800227,-0.03147788,0.16077983,-0.01359211,0.27985934
8,4.3203759,1.9661117,0.2836301,2.994747,5.4221998,0.2962657,0.44918592,1.05406414,-0.03948865,0.23721841,0.1053395,0.03933827
9,3.9224797,1.0104722,0.3036983,1.4942926,1.0155838,0.1267237,0.116903253,0.121939595,-0.005879948,0.349845,-0.01657656,0.37264786
10,4.5810738,2.0167997,0.2485306,2.6070719,4.0867906,0.2939811,0.79009273,1.12084206,-0.07140806,0.40658276,0.27637742,0.07551923
11,4.537551,1.646378,0.272434,2.2187352,3.2805268,0.2171026,0.59216099,0.75965402,-0.04418506,0.35820326,0.19187615,0.02189802
12,4.4798516,1.6155215,0.2782625,2.6150123,2.9146866,0.1687877,0.53870924,0.66102428,-0.03677469,0.30896737,0.01704844,0.54610112
13,4.8403601,1.7066333,0.2710529,2.411121,3.138158,0.221858,0.75523653,0.775751,-0.04718776,0.45016372,0.02045219,0.13497263
14,4.6610433,1.7421317,0.2823837,3.2545392,3.3895595,0.1956097,0.76306381,0.83389173,-0.03498131,0.3781862,-0.1014943,0.1838135
15,5.0551036,2.1233779,0.2675812,3.3879681,4.4766995,0.2470576,1.0875268,1.22958253,-0.06311645,0.43952555,0.03219342,0.22495217
16,4.3367429,1.5632798,0.2955423,2.6651742,3.7185225,0.2054095,0.41100846,0.65625561,-0.02521126,0.23661839,0.06173832,0.20587345
17,4.2792586,2.2777281,0.2545091,3.0196113,6.1737252,0.3747156,0.46031232,1.37511963,-0.06667512,0.04530265,-0.11139698,0.26000935
18,4.3019293,1.9833573,0.2678811,2.511066,5.5870337,0.3414619,0.4339669,1.07323344,-0.05887513,0.26661909,0.07933633,0.07960244
19,4.9901761,2.0820152,0.2579975,2.836506,4.1661303,0.2637622,0.98892478,1.13643908,-0.06524312,0.2782276,-0.0143066,0.2737937
20,4.1729985,1.5274483,0.2917551,2.184284,3.828141,0.213922,0.31013937,0.59847274,-0.02432681,0.33714686,0.20155046,0.09870392
