run,meanGamma,meanAlpha,meanTheta,RMSDGamma,RMSDAlpha,RMSDTheta,biasGamma,biasAlpha,biasTheta,corGamma,corAlpha,corTheta
1,3.7011142,0.7849535,0.3398263,1.00018243,0.33247736,0.05478965,-0.29696689,-0.1683837,0.02994337,0.4883097,0.5627471,0.8431874
2,3.877183,0.9445999,0.322965,1.4956059,0.7537935,0.0687052,-0.263220338,0.00044073,0.00486286,0.1780343,0.3566859,0.3001452
3,4.7025512,1.8961778,0.2606198,2.5419526,2.7849239,0.2155581,0.55652804,0.94486223,-0.06852422,0.4300828,0.1084541,0.3124199
4,3.5956038,0.7856688,0.3668531,1.63419959,0.6600457,0.06649209,-0.08676703,-0.08175034,0.02736446,0.5891831,-0.2891438,0.6510825
5,3.7408062,0.79427,0.3496981,1.12068911,0.39288194,0.05816108,-0.09997994,-0.08989831,0.02231117,0.2492087,0.4305251,0.5853581
6,5.5518438,2.4395019,0.2483372,4.588209,6.3710803,0.2343733,1.54813063,1.55084211,-0.05602363,0.7130136,0.1188801,0.2418002
7,3.8642509,1.1036958,0.2909233,1.3300277,0.9781283,0.1218038,0.1746127,0.17308563,-0.01672988,0.351820306,0.306585674,0.00484297
8,5.4456914,2.7857846,0.2362489,3.745577,6.8611393,0.3260017,1.37966476,1.83079817,-0.08207292,0.377415,0.1140449,0.3013556
9,4.0925914,1.0087697,0.3377812,1.61254517,0.60227116,0.06723556,0.35911695,0.105049603,0.004699964,0.4317353,0.1445107,0.2582147
10,4.969219,2.465227,0.255486,3.274938,5.457995,0.357249,1.26388811,1.53704234,-0.06715889,0.3230031,0.3438883,-0.2147635
11,4.0564767,1.0144424,0.3354884,1.26647373,0.6408613,0.07234931,0.04405605,0.053444156,0.008975831,0.7340158,0.2649307,0.4328891
12,4.2261973,0.981713,0.2999007,0.98318164,0.54500801,0.07871878,0.146890457,0.088425234,-0.009812207,0.7404038,0.488462,0.6040064
13,4.2878947,1.4686255,0.2974459,1.656986,1.7653505,0.1908897,0.41187119,0.46975181,-0.03612284,0.653854,0.4195685,0.4444528
14,4.8995444,1.6516545,0.2675252,1.9203114,1.8329236,0.1716744,0.88335447,0.7722288,-0.06451905,0.5072527,0.4878438,0.193675
15,4.1486702,1.0736231,0.3033616,1.2275015,0.9686915,0.1265769,0.161719064,0.124308603,0.002934638,0.4655709,0.1111359,0.572233
16,4.7555286,3.1716096,0.1709812,3.233937,6.5990808,0.4906274,1.0294668,2.2319327,-0.1457908,-0.0567499,0.3699699,0.1582417
17,4.2272138,0.8450572,0.3293627,1.63039447,0.59260785,0.06216889,0.235887355,0.006087149,0.012041482,0.3593755,0.2009118,0.7794307
18,4.1165831,1.1118032,0.3056631,1.4782396,0.977953,0.1047038,0.281687784,0.211132964,-0.009025165,0.5690064,0.2609879,0.174865
19,3.2808039,0.7837443,0.3566172,1.35512045,0.67503666,0.08970763,-0.50192985,-0.16412771,0.03635249,0.4295598,0.3789063,0.4650128
20,5.3196594,2.9473537,0.1596625,2.860832,5.5926347,0.4597287,1.500682,1.9661229,-0.1548778,0.07981482,-0.10230442,0.29975017
21,4.8960319,3.7163346,0.1625024,4.0131488,7.4331069,0.4736779,1.195671,2.77529,-0.157614,0.3652314,0.4525396,0.5031176
22,3.6915471,0.8976614,0.3339386,1.20115696,0.75468727,0.08630235,-0.31563155,-0.0325563,0.01664104,0.3167847,0.1122897,0.6968078
23,4.6298397,2.9420937,0.2063383,2.988447,8.1341563,0.4762627,0.7103939,1.9980285,-0.1096456,-0.07991115,0.58442434,0.34774719
