Exp1,Exp2,Exp3,Exp4,Exp5
4.7464386,3.9248993,3.8421935,3.992074,4.4609832
5.1873835,4.1475995,4.3427711,3.587126,4.9537103
4.187645,4.4105318,3.5385961,3.9940531,4.7107373
4.7729989,4.259391,3.9315946,4.0307878,4.4537991
5.0199794,4.4214004,3.9066039,3.809659,5.2924244
4.8492256,3.9288951,4.0209657,4.065164,4.3085478
4.0684564,3.6501934,3.9059183,3.3463349,3.9935762
3.7281328,3.9520542,4.0386079,4.2432179,4.2414844
4.3539261,3.580852,3.9056681,3.5887955,4.3284207
4.0934861,4.085917,4.041105,4.2873392,4.7119058
4.906205,3.782795,3.979256,4.6637709,4.3998
3.5196103,3.811755,3.9046278,3.5449615,5.074803
5.5871142,3.6431382,4.1664558,3.3132334,4.4128064
3.8821186,4.3161135,3.8343968,4.2839916,4.981333
4.6005319,3.7936516,3.7003953,3.7734319,4.2861389
4.1557393,4.3753506,3.9249878,4.1901277,4.3249554
3.5676521,3.9412511,3.9329091,3.6679542,4.3966084
3.7173974,3.9361604,3.8355715,4.438285,4.3508779
4.5393297,4.5062809,3.4151114,3.7857986,4.128718
4.323583,3.805311,4.356131,4.2092091,4.2518579
4.3007957,3.9942479,3.8516554,4.1848621,5.0340584
3.7199543,3.9033055,4.1550192,3.7842866,4.4331028
4.150102,3.826864,4.1353392,4.0432811,4.8403633
5.3123964,4.046796,4.2580766,3.7075758,4.3777399
3.9473722,3.9684988,3.9742129,3.4996784,4.4872787
4.6450269,3.9807308,3.868936,3.7901827,4.2924131
4.9988257,4.1702969,3.7763646,3.2610332,4.0659017
3.7490665,4.0404326,3.7232028,3.6809586,4.3067559
4.7455821,3.8915011,3.847114,3.4303438,4.5194006
4.2879974,3.9760911,3.9343662,3.8267103,4.3070997
4.6616833,3.8449803,4.033005,4.4685774,4.250602
4.3558501,3.3544742,3.769324,4.1740841,4.4320767
4.936016,4.290983,3.954727,4.1930694,4.0054514
4.7921025,4.3308017,3.7083008,3.6995812,4.4852283
4.2726701,3.7998031,3.3893837,4.26372,5.109782
4.447055,3.6870924,4.1560303,4.3214733,5.086033
4.939429,3.9650236,3.7018793,3.8056503,4.0775066
4.5253492,3.8711469,3.7064584,3.7843085,4.836036
4.602047,3.7466852,3.6295654,3.6007704,4.3584967
4.9745001,3.731331,3.8220189,4.002871,4.9177857
3.8889075,3.8664547,4.1635896,3.6297954,4.9353686
4.211174,4.3244077,3.9707646,3.6288297,4.1879876
4.5628221,4.1205763,4.3043979,3.5095369,4.6211266
6.766602,4.04994,3.8383372,3.9214829,5.0360112
4.7252536,3.7106564,4.0690902,3.5857819,4.7413566
4.8620888,4.147768,3.9365949,3.6617027,4.3413912
5.0967783,3.9703849,4.1915901,3.4990278,4.9277006
5.3738974,4.1795719,4.0287289,4.1241721,4.1671281
4.6814323,4.2859101,4.1535284,4.0501609,4.1734491
3.8470444,3.8436242,3.6415116,3.4985148,4.176348
4.7899921,3.8920632,4.1550004,3.6766048,4.3900851
4.1107425,3.8286603,4.307565,3.9940333,4.5379941
4.0380393,4.3854754,4.0676455,3.8742534,5.031352
5.2270517,4.278744,3.5769699,4.0072354,4.226491
5.349956,3.7660615,3.7393714,3.8006161,4.5895653
4.7270351,4.277772,4.0141801,3.3978136,4.472121
4.6356182,4.1951372,3.8067336,4.1078225,4.5053356
4.2239847,4.2838582,3.7582211,3.697677,3.9001638
3.7279626,4.0103402,3.9478593,4.0226473,4.6811041
4.2431667,4.0235703,3.8027718,4.1709378,4.7073086
4.663971,4.0723069,3.8887062,3.6661038,4.3145325
5.555642,3.9876391,4.2380833,3.8127664,4.574463
5.1345861,3.8311602,4.0044733,4.0488581,4.2698797
4.3424008,4.1157526,4.263657,4.1051693,4.4425475
5.3876087,4.1008838,3.4809894,4.5864645,4.8518764
5.0531065,3.6896327,3.7685456,4.5491817,4.1520141
4.8618307,3.9815155,3.8528636,4.3983203,4.4471187
