meanGamma,meanAlpha,meanTheta
3.6636816,0.8741447,0.3101073
3.3881804,0.7441583,0.3296753
4.0050669,0.9888722,0.3065807
3.9195569,0.9584812,0.3259789
4.101552,1.0382903,0.2975386
3.056555,0.9319927,0.3342468
4.890785,1.052222,0.35226
4.1994987,0.9953609,0.3238125
3.992074,0.9391516,0.3254306
3.587126,0.9099828,0.3637721
3.9940531,0.9130282,0.3194572
4.0307878,0.9992497,0.3104615
3.809659,0.9058191,0.3023933
4.065164,0.9828,0.2904795
3.3463349,0.8324504,0.3202257
4.2432179,0.8696128,0.3249787
3.5887955,0.7331634,0.3416759
4.2873392,0.8966691,0.3361776
4.6637709,1.1836752,0.2855574
3.5449615,0.7560764,0.3331822
3.3132334,0.8783192,0.3126465
4.2839916,0.9604622,0.3099574
3.7734319,1.0078403,0.3175972
4.1901277,0.8028796,0.3337763
3.6679542,0.8416063,0.2999237
4.438285,1.0016401,0.2959397
3.7857986,0.8705575,0.3353504
4.2092091,0.9524435,0.3346179
4.1848621,0.9915414,0.3459068
3.7842866,0.8477978,0.3124988
4.0432811,1.1133197,0.2625852
3.7075758,0.9696126,0.3004349
3.4996784,0.9021563,0.3110164
3.7901827,0.7705631,0.3329723
3.2610332,0.8773178,0.2969566
3.6809586,0.9125437,0.3200488
3.4303438,0.9648893,0.2842137
3.8267103,0.9073847,0.277912
4.4685774,0.9658223,0.2761322
4.1740841,0.9272973,0.3048852
4.1930694,1.0439832,0.3200039
3.6995812,0.9273222,0.3331465
4.26372,0.9277535,0.3233367
4.3214733,1.0119119,0.2873129
3.8056503,0.9363868,0.341005
3.7843085,1.0000651,0.2976313
3.6007704,0.8180469,0.3363621
4.002871,0.9835771,0.3036528
3.6297954,0.8627506,0.3347859
3.6288297,0.8512302,0.2962361
3.5095369,0.9187338,0.3322804
3.9214829,0.8328517,0.3279325
3.5857819,1.0680055,0.2968071
3.6617027,0.9291249,0.3074365
3.4990278,0.8882008,0.3435172
4.1241721,0.8229496,0.2952372
4.0501609,1.0430396,0.3192561
3.4985148,0.7829474,0.3222344
3.6766048,0.9127708,0.3452968
3.9940333,0.9054651,0.3065518
3.8742534,0.9479999,0.3574597
4.0072354,1.0657031,0.3103428
3.8006161,1.0610908,0.2882304
3.3978136,0.9781508,0.3375834
4.1078225,0.9365587,0.3272072
3.697677,0.792897,0.300303
4.0226473,0.9459758,0.3330434
4.1709378,1.0662514,0.3379589
3.6661038,0.8676194,0.3161364
3.8127664,0.9174455,0.3364889
4.0488581,0.8796891,0.2837821
4.1051693,1.0478602,0.3309738
4.5864645,0.9304123,0.322487
4.5491817,0.8765432,0.3032934
4.3983203,0.8624206,0.3643166
4.5478868,0.8790229,0.3373856
3.7156155,0.9028083,0.298719
3.9553434,0.8306183,0.3150657
3.7220828,0.8477236,0.2738118
4.2281963,0.9009383,0.3263857
3.8753732,1.0149267,0.3350404
3.8861065,0.969629,0.3552326
4.3262897,0.9341663,0.3142554
3.9724309,0.9105752,0.3234083
4.1763187,1.0237987,0.2875921
4.4111699,0.9370185,0.3132743
3.9086437,0.9539956,0.3021823
3.9500599,0.8158842,0.2790401
3.873932,1.018674,0.331811
4.0980514,0.9854712,0.2773695
3.5167239,0.8635936,0.2956665
3.9834671,0.9188249,0.3015606
4.2224711,0.8884196,0.3498543
3.9627439,0.8744045,0.3421031
3.8702938,1.0014694,0.3374521
4.0066701,1.1366386,0.3210304
3.8140739,0.9556153,0.3156304
3.8940028,0.9575305,0.3096312
4.5155632,1.0580412,0.3431735
4.4157358,0.9318842,0.3158624
