meanGamma,meanAlpha,meanTheta
3.627505,0.9791706,0.2657047
4.0786983,0.9363501,0.3298984
3.9913198,0.8884329,0.3072789
4.461024,1.102369,0.301005
4.2854184,0.9258506,0.3093624
3.9033441,0.9488491,0.2905507
3.9230397,0.8298598,0.3074317
3.8271486,0.8595876,0.3235123
3.6897609,0.8790869,0.3459141
3.470562,0.826047,0.3366237
3.4959216,0.9919618,0.3579823
3.530215,0.7696976,0.318651
3.9724895,0.8238153,0.2981682
3.9421075,1.1013709,0.3005617
3.8739522,0.9887754,0.3233717
4.2437851,0.9754564,0.355392
4.2958809,1.1632561,0.3373421
3.2731031,0.9728462,0.3439312
4.1478432,0.9260468,0.3462755
4.1192571,0.9784768,0.3245111
4.1681653,0.8061165,0.3469651
3.661158,0.9659683,0.3148628
4.1896278,0.8396123,0.315639
4.3246303,1.0868816,0.3246312
3.1183736,0.9171161,0.3139926
3.7231733,1.0137487,0.3168328
4.0173564,0.8002386,0.3640801
4.1077645,0.9245452,0.3216657
3.7686422,0.78982,0.2773866
3.4875632,0.8220952,0.3468827
3.493855,0.937683,0.2886684
3.6666324,0.9334953,0.331414
3.7950096,0.8861788,0.3008903
3.971974,0.9564352,0.3125069
3.8083598,1.0337044,0.3325868
4.1925555,1.0812965,0.2988409
3.8680894,1.0060058,0.3288227
3.8223304,0.9405794,0.29591
3.6843518,1.0700298,0.2906582
3.920023,0.8125677,0.3419146
4.0035668,0.9315071,0.323101
4.0576118,1.1231156,0.3210197
4.0524363,0.9085194,0.3426375
4.0675592,0.8763437,0.3425188
4.5977539,0.873771,0.3145597
3.8072256,0.7446808,0.3230317
4.0115013,0.9912194,0.3499393
3.8386628,0.9139079,0.3148576
3.2248319,0.765382,0.3246417
3.4841425,1.0436111,0.2621388
3.3666674,0.8835208,0.3122675
3.6888011,0.9393069,0.2927167
3.5761581,0.8650163,0.3176598
3.7033784,0.8406478,0.3125427
3.9002129,0.8239887,0.3114433
3.7135373,1.0007521,0.3329841
3.9292862,0.9267221,0.3025714
4.1021093,0.9927648,0.321244
4.1294443,0.7693372,0.3567428
3.6561442,0.8738365,0.3540379
3.9270142,0.939006,0.3316511
3.912667,0.9300085,0.2763291
4.0941261,0.9095511,0.3068813
3.6020103,0.9950793,0.3312895
3.9490365,1.0604801,0.2710621
3.5318987,0.9608745,0.3347213
4.117618,0.941264,0.327966
4.1383666,0.9281484,0.334452
3.8925393,0.8839941,0.2720686
3.2976443,0.7422686,0.313271
4.0840855,0.8081309,0.3074918
3.8536807,0.94811,0.3014075
3.9276577,0.8605937,0.3305855
3.4792524,0.8009116,0.3242367
4.2479467,0.8607433,0.3672509
4.0547987,0.8371183,0.3245101
3.8752865,0.918086,0.3398105
3.4198285,0.8516347,0.3357514
4.0072334,0.8365597,0.2923549
3.6045194,1.0683374,0.2947084
3.8565776,0.8098207,0.3478437
4.5358908,0.8961963,0.3467832
3.8313621,0.896697,0.3285254
3.4062615,0.7291368,0.3256024
3.7799846,0.8851159,0.3256031
4.1519253,1.0058156,0.3151797
3.8602275,0.9276295,0.2998294
3.811372,0.8786937,0.334243
4.0735857,0.8238588,0.3600795
3.9448746,0.8401793,0.360894
4.3005434,0.9671157,0.3176977
3.5787451,1.0087379,0.3691072
4.0003496,0.8737461,0.3417257
4.5397143,0.8181883,0.3030418
4.083007,0.9021692,0.2975755
3.9369213,0.7868149,0.2856372
3.9049273,0.9858349,0.3237482
4.4009286,1.0160504,0.2814313
4.247092,1.027625,0.2938664
4.50243,1.0026986,0.3387228
