meanGamma,meanAlpha,meanTheta
4.3698933,0.993929,0.3241904
4.0088703,0.9403718,0.3066932
3.7939019,0.9137036,0.3165169
4.7332922,1.2282338,0.2908642
3.9583336,1.0246174,0.3069559
3.7602754,0.9021911,0.2995779
3.9659205,0.8685033,0.3266456
3.7716145,0.9229929,0.3219897
4.0874164,1.005026,0.3214901
3.7653993,0.8781956,0.3186834
4.0642268,1.0005623,0.2925636
4.1590152,0.9855063,0.3266851
3.5707018,0.8561175,0.3441902
4.0698124,0.9625437,0.3212497
4.243107,0.9002661,0.3078274
4.1091517,0.9221877,0.3378004
3.7065392,0.8349054,0.3302492
4.3154772,0.9428436,0.3063823
3.7347216,1.0206663,0.3084941
4.019055,0.9285122,0.3281614
4.0465639,1.0117314,0.3205745
4.0184921,0.9624576,0.3013839
4.1791182,0.8604624,0.3090762
4.0759809,0.9741394,0.3179856
3.8622699,0.8686666,0.3313864
4.145737,0.931995,0.3173814
4.1963112,0.8963101,0.3275808
4.3436537,1.0390813,0.3103887
3.7224982,0.9122329,0.3280738
4.0814604,0.9362128,0.3344849
4.1167372,0.933388,0.3331723
3.8689979,0.9435832,0.3175536
4.1963543,0.9279759,0.3199044
4.0317154,0.9505365,0.334295
3.713335,0.92983,0.3350219
3.9784631,0.9274575,0.3187762
3.9248993,0.924619,0.3160068
4.1475995,0.9670978,0.3400502
4.4105318,1.0962507,0.3054681
4.259391,0.967407,0.322726
4.4214004,1.0881078,0.2980589
3.9288951,0.8941315,0.3099754
3.6501934,0.8474314,0.329878
3.9520542,0.9398377,0.3064354
3.580852,0.9123521,0.3153121
4.085917,0.9270791,0.3355365
3.782795,0.9316706,0.3223594
3.811755,0.9825788,0.290545
3.6431382,0.8536463,0.3392164
4.3161135,1.0132448,0.3200693
3.7936516,0.8590799,0.3365961
4.3753506,0.9581166,0.3270132
3.9412511,0.9762633,0.3435303
3.9361604,0.9931335,0.3375551
4.5062809,1.2099421,0.2860064
3.805311,0.9613359,0.3276859
3.9942479,0.9523507,0.3111859
3.9033055,1.105355,0.2740618
3.826864,1.0072479,0.3064535
4.046796,1.12868,0.316975
3.9684988,0.9219729,0.3345384
3.9807308,0.8127453,0.3400636
4.1702969,0.9706824,0.3204168
4.0404326,0.9351535,0.3231098
3.8915011,0.796494,0.3322145
3.9760911,1.0681745,0.3022046
3.8449803,0.8070977,0.3233434
3.3544742,0.9216312,0.3302193
4.290983,1.005299,0.29392
4.3308017,1.002161,0.3143201
3.7998031,0.9527553,0.3277477
3.6870924,0.9388058,0.3140725
3.9650236,1.0182305,0.3270536
3.8711469,0.9436033,0.3174702
3.7466852,0.8270691,0.356528
3.731331,0.91526,0.317652
3.8664547,0.9310433,0.3374481
4.3244077,1.1051569,0.3322344
4.1205763,0.8620435,0.3182486
4.04994,1.0465339,0.3140179
3.7106564,0.8459254,0.3424274
4.147768,0.9580461,0.3427106
3.9703849,0.8337026,0.3484374
4.1795719,1.0186001,0.3240511
4.2859101,0.9646839,0.3257883
3.8436242,0.9475463,0.3222342
3.8920632,0.8991009,0.3250741
3.8286603,0.9521145,0.3439118
4.3854754,1.0766566,0.2988716
4.278744,0.8852107,0.3185182
3.7660615,0.91871,0.3332156
4.277772,0.910665,0.3302899
4.1951372,1.0815756,0.3238414
4.2838582,1.1025171,0.3170861
4.0103402,1.0379012,0.3070439
4.0235703,0.9943395,0.327304
4.0723069,0.9734988,0.3198277
3.9876391,0.9522065,0.3278742
3.8311602,0.9207195,0.3253352
4.1157526,0.9803152,0.3327362
4.1008838,0.9982653,0.3143909
3.6896327,0.8341351,0.3292864
3.9815155,1.0515144,0.3109634
3.9152281,0.9660073,0.3299779
4.0417539,0.8928249,0.3169693
3.8481038,0.8648367,0.3175773
4.342693,1.140634,0.291586
4.0729702,0.9037843,0.330757
4.047372,0.9008604,0.3301245
4.0664275,0.9911878,0.3002815
3.7733518,0.9883202,0.3237447
3.9248181,1.0549017,0.3052354
4.4095798,1.0285415,0.2978691
3.8633289,0.9039684,0.2989133
4.0641496,0.9177138,0.3023227
3.5342563,0.8399934,0.3255622
3.5334462,0.9693107,0.3120429
3.9038852,0.8865906,0.3301347
3.632585,0.8408847,0.3418257
4.1334129,1.1068869,0.3056743
4.1593728,1.0273441,0.3137985
3.5915722,0.8788315,0.3201706
3.8992745,0.8781089,0.3192883
4.325137,0.9850109,0.3184078
3.9388543,0.9948944,0.3240404
3.8923382,0.9510115,0.3249616
3.6927052,0.8467439,0.3243062
3.7854791,1.0400193,0.3087367
