meanGamma,meanAlpha,meanTheta
4.0885236,0.945407,0.2999703
3.6450568,0.9257687,0.2964096
3.7738394,0.990616,0.3179272
3.8097619,0.8599269,0.3230389
3.8713373,0.9237193,0.2983486
4.0228165,0.9045215,0.3364777
3.7159008,0.9383762,0.3325069
4.0222485,1.1118952,0.3209177
4.1632302,1.0191608,0.3151424
3.5620421,0.8514196,0.3106066
3.666989,0.9447121,0.3157127
3.92398,0.9882801,0.3287372
3.8974074,0.8786959,0.3262555
3.9077542,0.8633428,0.3073532
3.8081209,0.8780905,0.3176617
4.0792447,0.9464848,0.3370935
4.2509521,1.0629848,0.3156276
3.6176797,0.8638125,0.3319214
4.271816,0.9032319,0.3224611
3.8135714,0.8400859,0.3315112
4.0831852,0.9164231,0.3478479
3.7299066,0.9556766,0.3224432
4.5508499,1.004387,0.3209513
4.0370636,0.9905891,0.3242435
4.0177878,0.9133152,0.3317834
3.9025317,0.9064965,0.3269918
3.7481235,0.828256,0.3196905
3.9395576,0.9484557,0.3238804
4.3584728,1.0891491,0.3042035
3.8762115,0.8881221,0.3175633
4.2065493,1.0743595,0.3096384
3.9683301,0.8864431,0.3180921
3.5043374,0.8270684,0.3191826
3.9596681,0.9241671,0.3318237
3.7030524,0.933912,0.3116474
4.1911388,0.9885011,0.3209562
4.1425781,0.9555276,0.3247024
3.9943878,0.9011993,0.3213083
3.7668099,0.8362458,0.3047079
3.7253403,0.8883222,0.3487303
4.0838227,0.8994416,0.3285676
3.8459707,0.8614568,0.3208755
3.6899399,0.8614825,0.3038074
3.931882,1.055967,0.314145
4.099895,0.979059,0.3191016
3.8181852,0.963253,0.3095317
3.9555628,1.0136788,0.3229351
4.1523152,1.0065154,0.3253191
3.4988611,0.8940019,0.3292761
3.7176608,0.8849932,0.3161135
4.0428419,0.9606476,0.3172584
4.1702235,1.0228073,0.3167852
3.7521164,0.87676,0.3128078
3.9919525,1.0448135,0.3160925
3.6918,0.9008168,0.2950367
3.9212428,0.9904474,0.302894
3.9734437,0.9327482,0.3058317
3.8215109,0.9125324,0.3047867
3.9820009,1.0146622,0.3360934
4.5909773,1.2906384,0.2950342
4.0675252,0.9912089,0.3169142
3.9858689,1.0411295,0.3143767
3.8913372,0.8448083,0.3248999
3.8112815,0.9401012,0.3225322
3.960414,1.0818987,0.3133735
3.9140437,0.8733685,0.2974772
3.9557785,0.9467245,0.3101847
4.204964,0.9937526,0.3145223
3.8007269,0.9286914,0.3115318
3.9710217,0.8783022,0.3202923
3.8445545,0.9134604,0.3387956
4.089981,0.972539,0.317899
