meanGamma,meanAlpha,meanTheta
4.2674486,1.7275556,0.2863088
4.5093761,2.1495415,0.2599688
4.1224076,1.3794871,0.2950616
4.0953788,1.5589978,0.2929806
4.2608808,2.235005,0.2282053
4.213884,1.862281,0.264571
4.1154257,1.4940136,0.2815667
4.3203759,1.9661117,0.2836301
3.9224797,1.0104722,0.3036983
4.5810738,2.0167997,0.2485306
4.537551,1.646378,0.272434
4.4798516,1.6155215,0.2782625
4.8403601,1.7066333,0.2710529
4.6610433,1.7421317,0.2823837
5.0551036,2.1233779,0.2675812
4.3367429,1.5632798,0.2955423
4.2792586,2.2777281,0.2545091
4.3019293,1.9833573,0.2678811
4.9901761,2.0820152,0.2579975
4.1729985,1.5274483,0.2917551
4.779311,2.7062402,0.2086631
4.5769585,1.8468828,0.2743211
4.1739986,1.3705619,0.2876518
4.3348291,1.9216058,0.2492697
4.6070175,1.9476614,0.2631275
4.6098222,2.3801597,0.2376069
4.3779947,1.915229,0.2421663
4.496705,1.845328,0.285501
4.3073046,1.8381958,0.2515158
4.5307141,2.3323099,0.2403139
4.616278,2.222359,0.243793
4.6106808,2.3647404,0.2508508
4.3163714,1.7966708,0.2759277
5.1375663,2.7984666,0.2001012
5.1867649,2.5902655,0.2257606
4.1391689,1.3130052,0.3084982
4.8473166,2.3263748,0.2425025
4.5681359,2.0232539,0.2430528
4.715154,2.084059,0.245264
4.663133,2.049777,0.255535
4.6697429,1.7596725,0.2857408
4.4102096,1.7617269,0.2644769
4.4796931,1.6591564,0.2959254
4.3662634,2.2625964,0.2389508
4.8575776,2.8540195,0.2065686
4.9729143,2.4996802,0.2327246
3.9576476,1.3795256,0.3016907
4.2261734,1.5110303,0.2846268
4.39766,1.675011,0.275631
4.6547245,2.1342404,0.2464003
4.7776101,2.4034784,0.2285055
5.320891,2.590264,0.230158
4.1929237,1.6232351,0.2889618
4.3419326,1.333237,0.3160191
4.742119,2.553153,0.212425
4.1328444,2.0348216,0.2551071
4.6683987,1.9470608,0.2529461
3.8458036,1.0992199,0.3248066
4.1723429,1.4676151,0.3091397
4.3951149,1.7743854,0.2672268
4.4640895,1.2928061,0.3177241
5.216916,3.054199,0.222791
4.5559671,2.2254533,0.2516415
5.1024279,2.7461646,0.2138715
4.5910246,2.5728354,0.2338632
4.6181682,1.8449971,0.2631157
4.6022669,2.0577226,0.2577999
4.9826067,2.2393927,0.2549706
4.5298121,1.906701,0.2674094
4.385407,1.8959114,0.2637275
4.7246926,1.7782338,0.2792496
4.5411468,1.9164031,0.2839098
4.9115678,1.6471427,0.2851569
4.5936578,1.3654949,0.3020594
4.0403121,1.3752111,0.3003915
4.7831354,2.2155458,0.2371131
4.372834,1.99727,0.260974
4.3794022,1.7713581,0.2673535
4.2313169,1.2008784,0.3273154
4.40353,1.752084,0.272937
4.9650751,2.6803887,0.2191312
4.718012,2.3657096,0.2446253
4.348158,1.6978694,0.2835791
4.4862298,2.1925452,0.2473693
4.6763365,1.7656458,0.2701709
4.662413,2.477197,0.239743
4.3539826,2.3449164,0.2158133
4.3396266,1.4800436,0.2762268
4.6488858,1.7655879,0.2649426
4.8822553,2.716275,0.2285797
4.3823579,1.34508,0.2902299
4.785257,2.2098949,0.2441089
4.6754337,2.1643326,0.2460126
4.5921936,2.2985221,0.2455975
4.6698162,2.4041275,0.2547801
5.1987093,2.3585234,0.2266454
4.5903036,1.7077523,0.2689689
4.1756307,1.6982174,0.2764234
4.5040921,1.4113737,0.2926711
4.8129414,2.0203442,0.2463661
3.966508,1.015589,0.321853
4.9681304,2.8145642,0.1994004
4.3393085,1.6668538,0.2722658
4.464608,1.843149,0.262217
4.1957092,1.5510377,0.2946478
4.060439,1.206123,0.3170824
4.7689995,1.8739727,0.2673447
4.2778053,1.2137591,0.3007476
4.4609832,1.7392607,0.2892868
4.9537103,2.3273404,0.2296546
4.7107373,2.0129763,0.2682979
4.4537991,2.0292912,0.2676589
5.2924244,3.2847645,0.1710026
4.3085478,1.4925933,0.2848967
3.9935762,1.1786225,0.3138433
4.2414844,1.8278748,0.2760396
4.3284207,1.8313953,0.2702831
4.7119058,2.1645428,0.2438435
4.3998,1.5775066,0.2820979
5.074803,2.606998,0.23211
4.4128064,1.5689224,0.2908905
4.981333,2.65135,0.214321
4.2861389,1.6963765,0.2765476
4.3249554,1.8670527,0.2555054
4.3966084,1.6409144,0.2964023
4.3508779,1.8658828,0.2759402
4.128718,1.350889,0.308964
4.2518579,1.1536322,0.3188797
5.0340584,2.1336909,0.2579835
4.4331028,1.6832352,0.2795456
4.8403633,2.1829218,0.2560496
4.3777399,1.5605356,0.2752642
4.4872787,1.7862493,0.2795242
4.2924131,1.9572287,0.2588149
4.0659017,1.4949458,0.3227509
4.3067559,1.4383709,0.2899657
4.5194006,2.232644,0.2235848
4.3070997,1.6142776,0.2866717
4.250602,1.4338783,0.2992183
4.4320767,1.5049337,0.3003219
4.0054514,1.3326542,0.3033451
4.4852283,1.9801581,0.2713894
5.109782,2.237547,0.269531
5.086033,2.301504,0.25038
4.0775066,1.2365921,0.3093082
4.836036,2.19615,0.257379
4.3584967,1.4050378,0.2939261
4.9177857,2.4011635,0.2376961
4.9353686,2.0150636,0.2591096
4.1879876,1.3177783,0.2942663
4.6211266,1.9822758,0.2627581
5.0360112,2.8822725,0.1842142
4.7413566,2.324063,0.2276324
4.3413912,1.521828,0.2939914
4.9277006,2.5559195,0.2148597
4.1671281,1.5135113,0.2924964
4.1734491,1.1243368,0.3222547
4.176348,1.6047093,0.2789927
4.3900851,1.7672853,0.2656616
4.5379941,2.0034924,0.2405942
5.031352,2.0535218,0.2636829
4.226491,1.4400605,0.3078613
4.5895653,1.7043058,0.2799013
4.472121,1.4385239,0.3033867
4.5053356,1.7181638,0.2687308
3.9001638,0.9646792,0.335053
4.6811041,1.9675659,0.2683969
4.7073086,2.628958,0.2044909
4.3145325,2.1556343,0.2789261
4.574463,1.9762964,0.2656873
4.2698797,1.7431526,0.2621767
4.4425475,1.6465731,0.2676738
4.8518764,2.0598494,0.2590767
4.1520141,1.3357657,0.3021873
4.4471187,1.5801596,0.2817235
4.091686,1.0874635,0.3092845
4.841743,2.311147,0.242532
4.6517603,2.1752028,0.2644891
4.8250018,1.8915575,0.2630161
4.0256379,1.2277792,0.2980283
4.56635,1.972273,0.257585
4.3405574,1.4359172,0.2920775
4.0932017,1.0680936,0.3318626
4.808857,2.345322,0.239222
4.7656265,2.4730125,0.2589243
4.057769,1.3208152,0.3189994
4.3879816,1.8050855,0.2810105
4.6569552,1.6468901,0.2725575
4.4654141,1.6675593,0.2774487
4.4665814,1.8190588,0.2752629
4.1907093,1.6845088,0.2689476
4.5658721,1.8743267,0.2903042
4.8762887,2.5140697,0.2249859
5.1580232,2.4011463,0.2302732
4.389229,1.608107,0.285472
4.8645556,2.6841569,0.2077187
4.5667963,2.0852132,0.2808387
4.4079387,1.8725803,0.2754257
4.2890292,1.3468555,0.3036929
4.1804988,1.2109935,0.3066942
