Exp1,Exp2,Exp3,Exp4,Exp5
1.5641656,0.924619,0.9241884,0.9391516,1.7392607
2.2430294,0.9670978,0.9274015,0.9099828,2.3273404
1.9548564,1.0962507,0.9226189,0.9130282,2.0129763
2.2460411,0.967407,0.8421089,0.9992497,2.0292912
2.2604778,1.0881078,0.9796503,0.9058191,3.2847645
2.4223702,0.8941315,0.8825751,0.9828,1.4925933
0.7010559,0.8474314,0.9536504,0.8324504,1.1786225
0.9152155,0.9398377,0.9848524,0.8696128,1.8278748
1.0937655,0.9123521,0.9273287,0.7331634,1.8313953
0.9995303,0.9270791,0.8777112,0.8966691,2.1645428
2.6667221,0.9316706,0.9628895,1.1836752,1.5775066
0.844776,0.9825788,0.9226522,0.7560764,2.606998
2.8508855,0.8536463,0.9384583,0.8783192,1.5689224
0.750593,1.0132448,0.9945601,0.9604622,2.65135
1.6043455,0.8590799,0.8957377,1.0078403,1.6963765
1.2194174,0.9581166,0.8035925,0.8028796,1.8670527
0.8683841,0.9762633,0.8731611,0.8416063,1.6409144
0.9385984,0.9931335,0.8660302,1.0016401,1.8658828
2.3288695,1.2099421,0.9045504,0.8705575,1.350889
1.0448588,0.9613359,0.9514786,0.9524435,1.1536322
1.7508262,0.9523507,0.9290988,0.9915414,2.1336909
0.7399715,1.105355,0.9295857,0.8477978,1.6832352
1.5618815,1.0072479,0.8560879,1.1133197,2.1829218
3.1301335,1.12868,0.9928387,0.9696126,1.5605356
0.8380498,0.9219729,0.9716523,0.9021563,1.7862493
2.9604187,0.8127453,0.9042384,0.7705631,1.9572287
2.0267327,0.9706824,0.9101955,0.8773178,1.4949458
0.8017376,0.9351535,0.9552738,0.9125437,1.4383709
2.1149623,0.796494,0.9248022,0.9648893,2.232644
1.4958235,1.0681745,0.8803116,0.9073847,1.6142776
1.2297745,0.8070977,0.9601255,0.9658223,1.4338783
1.1496113,0.9216312,0.9577788,0.9272973,1.5049337
4.0738033,1.005299,0.9097295,1.0439832,1.3326542
2.6286618,1.002161,0.8702257,0.9273222,1.9801581
1.132306,0.9527553,0.9203487,0.9277535,2.237547
1.242242,0.9388058,0.9764419,1.0119119,2.301504
