run,meanGamma,meanAlpha,meanTheta,RMSDGamma,RMSDAlpha,RMSDTheta,biasGamma,biasAlpha,biasTheta,corGamma,corAlpha,corTheta
1,4.0885236,0.945407,0.2999703,0.64983177,0.24558683,0.02911615,0.100554571,0.035203137,-0.001847043,0.8411516,0.6451882,0.8017847
2,3.6450568,0.9257687,0.2964096,0.53839083,0.30062631,0.03731984,-5.37E-02,1.60E-03,-9.18E-05,0.843478,0.5013465,0.8374034
3,3.7738394,0.990616,0.3179272,0.55482391,0.26886315,0.03798388,-0.018465253,0.008328096,0.002425374,0.7846129,0.6680506,0.6541049
4,3.8097619,0.8599269,0.3230389,0.53027329,0.20892371,0.02943176,-0.135410733,-0.046010337,0.005615498,0.7117527,0.4627342,0.8507791
5,3.8713373,0.9237193,0.2983486,0.61681354,0.21718087,0.02924951,2.00E-01,3.87E-02,-7.70E-05,0.7899732,0.5644709,0.8469215
6,4.0228165,0.9045215,0.3364777,0.77613939,0.28456492,0.03219667,0.005834431,0.006117049,0.002508671,0.7778283,0.4904249,0.7074944
7,3.7159008,0.9383762,0.3325069,0.55302633,0.21636046,0.03259052,0.012884465,0.006366748,0.001462126,0.6877027,0.6462239,0.8200587
8,4.0222485,1.1118952,0.3209177,0.61877391,0.37212393,0.04333853,0.07614392,0.102593047,-0.007830143,0.7858544,0.5158781,0.782858
9,4.1632302,1.0191608,0.3151424,0.55297575,0.22882811,0.03329303,0.194863156,0.051699362,-0.005367262,0.5508882,0.6912522,0.8214394
10,3.5620421,0.8514196,0.3106066,0.49643638,0.19326372,0.02919226,-0.29090426,-0.07862964,0.01012037,0.8442582,0.6650471,0.8680636
11,3.666989,0.9447121,0.3157127,0.6314315,0.2717711,0.033807,0.022322952,0.034262742,-0.000665471,0.5717653,0.6234631,0.5103596
12,3.92398,0.9882801,0.3287372,0.60374544,0.30263246,0.03473954,0.014457033,-0.001049371,0.002951087,0.7571203,0.3326987,0.8463653
13,3.8974074,0.8786959,0.3262555,0.6453663,0.2490231,0.0303931,-0.032258751,-0.006755953,0.003569527,0.662677,0.6125006,0.8882503
14,3.9077542,0.8633428,0.3073532,0.62277842,0.23362917,0.02989151,0.026305935,-0.014678491,0.003330932,0.8161428,0.3769424,0.8949473
15,3.8081209,0.8780905,0.3176617,0.59361299,0.19840235,0.02304027,0.038129864,0.02221418,0.001034643,0.5909763,0.669118,0.8830129
16,4.0792447,0.9464848,0.3370935,0.55286744,0.25953543,0.03296373,0.010341473,0.002518017,0.003483694,0.7689471,0.5124488,0.7676662
17,4.2509521,1.0629848,0.3156276,0.96068429,0.56058123,0.06024717,0.30396085,0.19797672,-0.01658919,0.6921078,0.3798146,0.5335132
18,3.6176797,0.8638125,0.3319214,0.51998764,0.18866136,0.02405424,-0.156353728,-0.058115864,0.009096978,0.8285589,0.3919403,0.9348238
19,4.271816,0.9032319,0.3224611,0.82453333,0.30868788,0.03827281,0.02973451,-0.01931576,0.01148097,0.6400622,0.1799931,0.8682093
20,3.8135714,0.8400859,0.3315112,0.43312397,0.17166865,0.02688422,-0.06326521,-0.06441151,0.01470042,0.7559859,0.6576974,0.8949491
21,4.0831852,0.9164231,0.3478479,0.66110941,0.2005241,0.02778047,0.03705515,-0.032586655,0.008831097,0.7959278,0.5048525,0.7589358
22,3.7299066,0.9556766,0.3224432,0.46316415,0.19359243,0.03495838,-0.041924718,0.000645412,0.003725301,0.7799428,0.682982,0.7503052
23,4.5508499,1.004387,0.3209513,0.92909072,0.38662874,0.03487682,0.38995228,0.10265219,-0.00468135,0.8040278,0.5029452,0.8585393
24,4.0370636,0.9905891,0.3242435,0.70319931,0.23977281,0.03282252,0.117179303,0.03095155,-0.00043785,0.7593595,0.4576929,0.8758823
25,4.0177878,0.9133152,0.3317834,0.5656957,0.2090193,0.0296815,-0.111328297,-0.03841954,0.005993066,0.7469363,0.7367635,0.7891021
26,3.9025317,0.9064965,0.3269918,0.4838435,0.1811383,0.0233232,-0.039504719,-0.044561474,0.008693596,0.7529138,0.7230568,0.951467
27,3.7481235,0.828256,0.3196905,0.6526911,0.20790321,0.02192028,-0.09008653,-0.030870802,0.007232637,0.6743436,0.2176422,0.9183607
28,3.9395576,0.9484557,0.3238804,0.4602645,0.2028904,0.0238986,0.083248566,0.012033091,0.001176021,0.8573971,0.5847349,0.8969988
29,4.3584728,1.0891491,0.3042035,0.9190051,0.4895545,0.0527958,0.30155491,0.17787702,-0.02057259,0.6272563,0.4502491,0.7133929
30,3.8762115,0.8881221,0.3175633,0.73537831,0.38380541,0.04451028,-0.026130313,-0.002131946,0.001984193,0.5010462,0.395055,0.7383291
31,4.2065493,1.0743595,0.3096384,0.63400632,0.31207967,0.03890106,0.1656222,0.11104735,-0.01297633,0.8066372,0.6683348,0.7879878
32,3.9683301,0.8864431,0.3180921,0.64071983,0.25784871,0.03093061,0.03963655,-0.006624047,0.00489782,0.7132223,0.6269244,0.7374399
33,3.5043374,0.8270684,0.3191826,0.61082339,0.24728265,0.03349235,-0.081466499,-0.03771238,0.005880202,0.8074748,0.5775381,0.8304764
34,3.9596681,0.9241671,0.3318237,0.75910933,0.28573921,0.03602346,0.069377192,0.037937043,-0.000698089,0.7076771,0.3953318,0.7903724
35,3.7030524,0.933912,0.3116474,0.59778029,0.22797456,0.02810546,-0.154730369,-0.026232876,0.004968864,0.7470253,0.533237,0.923462
36,4.1911388,0.9885011,0.3209562,0.62526501,0.25340621,0.03221016,0.038341808,0.007271357,0.000864802,0.5602861,0.4649134,0.8859081
37,4.1425781,0.9555276,0.3247024,0.7552096,0.2861818,0.0318118,0.110593645,0.057332789,-0.002615182,0.8307578,0.5970202,0.9171836
38,3.9943878,0.9011993,0.3213083,0.6014241,0.25278947,0.03115117,-0.008186747,-0.007555003,0.00116604,0.7920676,0.6226076,0.8261988
39,3.7668099,0.8362458,0.3047079,0.68288551,0.2080705,0.02418439,-0.118767051,-0.029983736,0.006890075,0.6996883,0.4823704,0.9038821
40,3.7253403,0.8883222,0.3487303,0.49838684,0.20424433,0.03219105,-0.09868806,-0.033967136,0.007597746,0.8385862,0.6951468,0.8824965
41,4.0838227,0.8994416,0.3285676,0.6430526,0.2411984,0.0310072,-0.09466183,-0.05222229,0.01207742,0.714377,0.5403454,0.8046074
42,3.8459707,0.8614568,0.3208755,0.5254574,0.1621523,0.0229371,-0.03788482,-0.05229358,0.01109329,0.6334246,0.7476768,0.9444296
43,3.6899399,0.8614825,0.3038074,0.5057876,0.1612366,0.0211149,-0.022208776,0.009190143,-0.00480996,0.62795,0.7411716,0.9294824
44,3.931882,1.055967,0.314145,0.76167717,0.43643442,0.04340644,0.030267536,0.083788485,-0.006051836,0.8258621,0.5626289,0.7234553
45,4.099895,0.979059,0.3191016,0.48753076,0.19219187,0.02358605,-0.010807838,0.026555635,-0.002997204,0.7248759,0.8660282,0.8665468
46,3.8181852,0.963253,0.3095317,0.44262203,0.20139139,0.02810671,0.059421801,0.029888124,-0.000177309,0.8589019,0.5893374,0.9204505
47,3.9555628,1.0136788,0.3229351,0.64669707,0.31641963,0.03498425,0.107108328,0.061740616,-0.003938403,0.7694156,0.3297151,0.6956412
48,4.1523152,1.0065154,0.3253191,0.60899139,0.29627222,0.03477314,0.155471152,0.073958822,-0.007516886,0.8450537,0.6809154,0.8210172
49,3.4988611,0.8940019,0.3292761,0.47987235,0.17947716,0.02676989,-0.10257794,-0.06484562,0.01174986,0.7969497,0.3930413,0.8888219
50,3.7176608,0.8849932,0.3161135,0.46730527,0.20494333,0.02517436,0.050096238,0.007607208,0.00179104,0.8745982,0.4272201,0.8746194
51,4.0428419,0.9606476,0.3172584,0.56106146,0.24450015,0.03091908,0.056619117,0.039891674,-0.002770424,0.5146544,0.7278282,0.9392912
52,4.1702235,1.0228073,0.3167852,0.92952241,0.37521644,0.03946926,0.323239823,0.116757712,-0.007804371,0.8203768,0.3190936,0.7655491
53,3.7521164,0.87676,0.3128078,0.5714288,0.262215,0.0333428,-0.29965329,-0.09750678,0.01068434,0.4811329,0.3430611,0.8255929
54,3.9919525,1.0448135,0.3160925,0.64470507,0.24073859,0.02826104,0.288686605,0.0803397,-0.001522897,0.7602913,0.7426657,0.8924869
55,3.6918,0.9008168,0.2950367,0.61530814,0.23764268,0.02890613,-0.053880667,-0.003298222,0.002371866,0.7465264,0.6424681,0.8526301
56,3.9212428,0.9904474,0.302894,0.56414551,0.27641521,0.03713131,-0.006616515,0.065882647,-0.016336178,0.7357939,0.6306785,0.7821421
57,3.9734437,0.9327482,0.3058317,0.92544982,0.52655048,0.06270841,0.006258736,0.056066256,-0.002077792,0.104157,0.2967954,0.7357123
58,3.8215109,0.9125324,0.3047867,0.64723769,0.23422687,0.02709869,-0.059169801,0.005341315,-0.001503711,0.7983357,0.5174521,0.8917825
59,3.9820009,1.0146622,0.3360934,0.7284466,0.38292803,0.04012174,0.236933541,0.091604902,-0.005255077,0.8493429,0.4173561,0.7088201
60,4.5909773,1.2906384,0.2950342,1.4293322,1.3245448,0.1227821,0.46374358,0.39846602,-0.03042453,0.5409516,0.4346231,0.2001192
61,4.0675252,0.9912089,0.3169142,0.64860654,0.29648656,0.03507082,1.30E-01,4.02E-02,2.83E-05,0.6649756,0.5514613,0.8596826
62,3.9858689,1.0411295,0.3143767,0.76420653,0.425222,0.04850871,0.17871489,0.12945665,-0.01279808,0.7785557,0.7210471,0.8265199
63,3.8913372,0.8448083,0.3248999,0.67419863,0.24447687,0.02268777,-0.0954682,0.013287264,-0.002628833,0.7489182,0.7757084,0.9064173
64,3.8112815,0.9401012,0.3225322,0.42983109,0.17590517,0.02455168,0.02358345,-0.04476858,0.01294976,0.8138865,0.4431671,0.9040245
65,3.960414,1.0818987,0.3133735,0.70097778,0.47055497,0.05750429,0.16920785,0.13760089,-0.01803646,0.4698714,0.6886274,0.6926345
66,3.9140437,0.8733685,0.2974772,0.50929816,0.22560115,0.02949719,0.043699819,-0.000734556,0.000671783,0.8728285,0.6659819,0.8403785
67,3.9557785,0.9467245,0.3101847,0.55187919,0.26858554,0.03132012,0.147266134,0.055684921,-0.001608453,0.8714882,0.5989055,0.8536205
68,4.204964,0.9937526,0.3145223,0.66254902,0.27345538,0.02904581,0.207797485,0.061091567,0.001546376,0.7745708,0.7633163,0.8634133
69,3.8007269,0.9286914,0.3115318,0.57725852,0.20748122,0.02873236,0.071603763,-0.030188771,0.008385126,0.8641831,0.7969791,0.9175916
70,3.9710217,0.8783022,0.3202923,0.7986862,0.330129,0.0334799,-0.020846956,0.021400275,-0.00034313,0.5964935,0.4666153,0.4737715
71,3.8445545,0.9134604,0.3387956,0.74113014,0.2556954,0.03204911,0.008683029,-0.00277363,0.006967685,0.8157557,0.6747183,0.8841763
72,4.089981,0.972539,0.317899,0.65390269,0.32929294,0.04482394,0.107209648,0.06827721,-0.005140774,0.7658254,0.7076996,0.7884067
73,4.3698933,0.993929,0.3241904,1.02041409,0.45569215,0.04451566,0.233050598,0.075012627,0.00088846,0.8668989,0.2967905,0.5639871
74,4.0088703,0.9403718,0.3066932,0.60539462,0.2402677,0.03194301,0.046598068,-0.030400667,0.009317276,0.8686195,0.5398858,0.727744
75,3.7939019,0.9137036,0.3165169,0.3901874,0.2227381,0.0314701,-0.019915853,0.006146761,0.003823123,0.8827624,0.7991049,0.8663109
76,4.7332922,1.2282338,0.2908642,1.06914622,0.62574277,0.06910159,0.65295979,0.3454984,-0.03416471,0.6995834,0.5357073,0.6683221
77,3.9583336,1.0246174,0.3069559,1.00678625,0.60819247,0.05968469,0.151504676,0.120114899,-0.005586724,0.5365002,0.3665972,0.3956851
78,3.7602754,0.9021911,0.2995779,0.51849946,0.24382515,0.03223229,0.081335725,0.041681822,-0.005272407,0.8786578,0.6145407,0.8992774
79,3.9659205,0.8685033,0.3266456,0.60592627,0.27431649,0.03274785,0.00096427,-0.033629002,0.005503817,0.8773198,0.3163834,0.8068436
80,3.7716145,0.9229929,0.3219897,0.70139329,0.34398061,0.04516376,-0.040862604,-0.005178025,0.006532173,0.49436879,0.03620034,0.56458663
81,4.0874164,1.005026,0.3214901,0.79252102,0.34861718,0.03889231,0.056414294,0.071606606,-0.004486495,0.6973368,0.3923507,0.6828484
82,3.7653993,0.8781956,0.3186834,0.65642599,0.23574118,0.02754372,-0.154360292,-0.039540763,0.005086076,0.5723094,0.7165838,0.8978031
83,4.0642268,1.0005623,0.2925636,0.84115767,0.5225138,0.05011289,0.10291301,0.075680694,-0.000733685,0.5862421,0.6439452,0.6693595
84,4.1590152,0.9855063,0.3266851,0.94634708,0.35862753,0.03131749,0.243007302,0.051176609,0.002337416,0.7430935,0.353126,0.8732247
85,3.5707018,0.8561175,0.3441902,0.41091817,0.17261103,0.02915364,-0.0392887,-0.05589135,0.01119532,0.8428742,0.7450202,0.9108337
86,4.0698124,0.9625437,0.3212497,0.68190166,0.25730457,0.02928607,0.05322665,0.01039992,0.0037931,0.8307163,0.1808569,0.9075812
87,4.243107,0.9002661,0.3078274,0.63029073,0.20557672,0.02349972,0.095380307,0.023471557,-0.001388298,0.6810358,0.6719218,0.8977534
88,4.1091517,0.9221877,0.3378004,0.56324864,0.23225397,0.03052631,0.208782889,0.017053736,0.004701812,0.7631601,0.6776025,0.8513922
89,3.7065392,0.8349054,0.3302492,0.61722752,0.2171024,0.03256669,-0.1196992,-0.06034649,0.01011908,0.7043291,0.717209,0.8088259
90,4.3154772,0.9428436,0.3063823,0.73903451,0.24418216,0.02611165,1.45E-01,3.05E-02,8.81E-05,0.79439,0.3070362,0.9139468
91,3.7347216,1.0206663,0.3084941,0.57548188,0.29165163,0.03956277,0.07563746,0.05822602,-0.00700378,0.7686221,0.7445625,0.8208493
92,4.019055,0.9285122,0.3281614,0.74534982,0.25072284,0.03123397,-0.085731688,0.010290919,-0.000278061,0.6767137,0.1278559,0.7967602
93,4.0465639,1.0117314,0.3205745,0.53916149,0.28229326,0.03976201,-0.005479703,0.030761941,-0.002984256,0.7259796,0.671592,0.6392459
94,4.0184921,0.9624576,0.3013839,0.751436,0.28788153,0.04187869,0.086778517,0.058743183,-0.006933398,0.7015386,0.7280249,0.7721398
95,4.1791182,0.8604624,0.3090762,0.67841366,0.21152092,0.02289859,0.092152842,-0.000154263,0.0020702,0.6647812,0.7203609,0.9065536
96,4.0759809,0.9741394,0.3179856,0.60401802,0.25252211,0.03158838,0.19462355,0.05735231,-0.00133962,0.8226183,0.4926844,0.8099662
97,3.8622699,0.8686666,0.3313864,0.64448681,0.2637923,0.03455828,-0.17750068,-0.043378779,0.004628581,0.6147756,0.5914443,0.7965729
98,4.145737,0.931995,0.3173814,0.87528685,0.42692156,0.03991429,0.130136346,0.04251018,-0.000883024,0.3955354,0.2856251,0.5360554
99,4.1963112,0.8963101,0.3275808,0.73650335,0.255815,0.02675336,0.161019196,0.012112731,0.002234142,0.7293849,0.4760147,0.8351133
100,4.3436537,1.0390813,0.3103887,0.87034158,0.66722837,0.07718063,0.19901623,0.14309691,-0.01580465,0.466599,0.5500946,0.6152639
101,3.7224982,0.9122329,0.3280738,0.55233229,0.24678791,0.03346392,-0.043865577,-0.039832427,0.007797569,0.7888607,0.3013925,0.7801156
102,4.0814604,0.9362128,0.3344849,0.64172887,0.29610953,0.03168975,0.111639855,0.034570495,0.003171226,0.7230281,0.389326,0.8088762
103,4.1167372,0.933388,0.3331723,0.54965398,0.22171782,0.02977178,0.099627752,0.002767387,0.005940709,0.8793396,0.7754725,0.8617172
104,3.8689979,0.9435832,0.3175536,0.49281553,0.21786642,0.02660465,0.07834935,0.051483252,-0.004664614,0.9077853,0.658389,0.8026736
105,4.1963543,0.9279759,0.3199044,0.7984058,0.363944,0.0385168,0.148486771,0.070250911,-0.002980211,0.7024568,0.7600788,0.804757
106,4.0317154,0.9505365,0.334295,0.59005864,0.31042941,0.03928676,0.071019227,0.035951086,-0.004466886,0.510769,0.6926254,0.7177287
107,3.713335,0.92983,0.3350219,0.54651703,0.23093274,0.03417015,-0.040553057,-0.005767866,0.004716868,0.7254225,0.4499472,0.7843497
108,3.9784631,0.9274575,0.3187762,0.50370669,0.21840801,0.02792679,0.031318786,0.028047847,-0.001201621,0.7768354,0.4222828,0.8867173
109,3.9248993,0.924619,0.3160068,0.49124191,0.28423744,0.03967501,-0.001974321,0.008845991,0.001710699,0.5957108,0.5303924,0.7037626
110,4.1475995,0.9670978,0.3400502,0.47731086,0.18128166,0.02461134,0.053135955,0.000994427,0.007275671,0.8381308,0.7899987,0.9302032
111,4.4105318,1.0962507,0.3054681,0.79202228,0.48743446,0.04955291,0.383969169,0.146477904,-0.009699339,0.7844024,0.3869468,0.7938009
112,4.259391,0.967407,0.322726,0.64655246,0.31443694,0.03689399,0.041307227,0.049225712,0.000879659,0.7783803,0.4536877,0.6812652
113,4.4214004,1.0881078,0.2980589,0.59579267,0.31808525,0.03552431,0.24951719,0.14460621,-0.01353298,0.861606,0.624313,0.8956148
114,3.9288951,0.8941315,0.3099754,0.53579282,0.20767048,0.02673743,0.086955751,0.024949868,-0.002600785,0.5998337,0.6867427,0.8162785
115,3.6501934,0.8474314,0.329878,0.61255036,0.18042553,0.02312611,-0.009151409,-0.018347647,0.005681396,0.3056493,0.6641133,0.9333033
116,3.9520542,0.9398377,0.3064354,0.59952613,0.22084782,0.02693753,0.13666542,0.02877577,-0.00125642,0.8179323,0.6098694,0.8924349
117,3.580852,0.9123521,0.3153121,0.68402939,0.32015886,0.04649664,-0.155643462,-0.015725419,0.003845779,0.7285084,0.5934352,0.7462249
118,4.085917,0.9270791,0.3355365,0.7909923,0.41951642,0.04870649,-0.001391921,0.039633736,0.002042907,0.5600609,0.6266528,0.5782226
119,3.782795,0.9316706,0.3223594,0.58521226,0.19819631,0.02131272,0.08784729,0.02667733,-0.00179197,0.6954797,0.4699907,0.944006
120,3.811755,0.9825788,0.290545,0.7180206,0.39236449,0.04637513,0.133437461,0.086092206,-0.007550031,0.7205435,0.5322708,0.8765839
121,3.6431382,0.8536463,0.3392164,0.60894368,0.30784128,0.03698336,-0.14703829,-0.03253804,0.00985938,0.6904876,0.5411475,0.8006869
122,4.3161135,1.0132448,0.3200693,0.85800806,0.35835791,0.03583241,0.344347308,0.080423069,-0.002143392,0.7906414,0.2308758,0.8922085
123,3.7936516,0.8590799,0.3365961,0.54892356,0.21489729,0.02973911,-0.044337273,-0.042133169,0.007107546,0.7905969,0.5353525,0.8273271
124,4.3753506,0.9581166,0.3270132,0.6349065,0.282718,0.0343161,0.063346439,0.051608294,-0.004387552,0.74131,0.3631742,0.8958757
125,3.9412511,0.9762633,0.3435303,0.61979401,0.26694545,0.03100314,0.172362759,0.058606743,-0.002918719,0.8495583,0.5514993,0.8399914
126,3.9361604,0.9931335,0.3375551,0.4622353,0.2371796,0.0306251,0.029610183,0.031419136,-0.001811799,0.7843228,0.7038898,0.7116157
127,4.5062809,1.2099421,0.2860064,0.98979041,0.58126717,0.06245396,0.49979795,0.28537865,-0.02651676,0.7213848,0.4842943,0.6207838
128,3.805311,0.9613359,0.3276859,0.52784339,0.21137533,0.02659576,-0.012330273,0.03394955,-0.003386222,0.7919957,0.7631657,0.8485414
